Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
b-r3031925-sterling-silver,B-R3031,<p>925 Sterling Silver Stone part:16mm Length:16cm+4cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,35,,TRUE,TRUE,'25215677,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s4001925-sterling-silver,E-S4001,"<p>925 Sterling Silver <br>Opal:4mm Zircon:2.5mm 15pairs for each color 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,24,,TRUE,TRUE,'25182909,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1487925-sterling-silver,E-S1487,<p>925 Sterling Silver 15mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,32,,TRUE,TRUE,'24822461,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-e3051925-sterling-silver,R-E3051,<p>925 Sterling Silver size5/6/7 15pcs for each size 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'24789693,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-st4064925-sterling-silver,E-ST4064,<p>925 Sterling Silver / 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'24756925,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1120925-sterling-silver,E-S1120,<p>925 Sterling Silver 2.5mm Opal and 2.0mm CZ 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'24724157,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f11084925-sterling-silver,R-F11084,"<p>925 Sterling Silver <br>Band 1.2mm size5/6/7 15pcs for each size 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'24691389,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1169925-sterling-silver,E-H1169,<p>925 Sterling Silver Inner diameter 7.5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,38,,TRUE,TRUE,'24658621,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f1099925-sterling-silver,R-F1099,"<p>925 Sterling Silver <br>Band 1.4mm size5/6/7 15pcs for each size 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'24625853,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s0194-1925-sterling-silver,E-S0194-1,<p>925 Sterling Silver 3/8 in diameter 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,24,,TRUE,TRUE,'24593085,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e4191925-sterling-silver,N-E4191,"<p>925 Sterling Silver <br>Opal 2mm / Zircon 1.3mm &amp;1.5mm Chain: 40+5cm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,38,,TRUE,TRUE,'24560317,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1073925-sterling-silver,E-H1073,<p>925 Sterling Silver 2mm Opal and Inner Diameter 8mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,49,,TRUE,TRUE,'24527549,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
b-r0054925-sterling-silver,B-R0054,<p>925 Sterling Silver Pendant diameter: 12 mm Length: 16cm+4cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,42,,TRUE,TRUE,'24494781,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e1553925-sterling-silver,N-E1553,<p>925 Sterling Silver Padlock 16*9mm Chain Length: 40+5 cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,38,,TRUE,TRUE,'24462013,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s2611925-sterling-silver,E-S2611,<p>925 Sterling Silver 12mm high 4.8mm wide stone 3mm * 5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,31,,TRUE,TRUE,'24429245,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e5177925-sterling-silver,N-E5177,<p>925 Sterling Silver Pendantï__10mm x 10mm Chain Length: 40+5 cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,38,,TRUE,TRUE,'24199869,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
b-r5089925-sterling-silver,B-R5089,"<p>925 Sterling Silver <br>Measurements: 12.7 x 6.5 mm Length: 16cm+4cm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'24134333,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1067925-sterling-silver,E-H1067,<p>925 Sterling Silver Outside diameter 10.5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,48,,TRUE,TRUE,'24068797,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1114925-sterling-silver,E-S1114,<p>925 Sterling Silver / 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'24036029,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1966925-sterling-silver,E-S1966,<p>925 Sterling Silver Inner Diameter 9mm and Butterfly 11mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,29,,TRUE,TRUE,'24003261,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h3214925-sterling-silver,E-H3214,<p>925 Sterling Silver Hoop dia:10mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,36,,TRUE,TRUE,'23970493,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e2734925-sterling-silver,N-E2734,"<p>925 Sterling Silver <br>9mm*20mm Chain Length: 40+5 cm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,49,,TRUE,TRUE,'23937725,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e0096925-sterling-silver,N-E0096,<p>925 Sterling Silver Pendant 13mm Length: 40cm+5cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,39,,TRUE,TRUE,'23904957,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
b-r5096925-sterling-silver,B-R5096,<p>925 Sterling Silver chain width: 3.2mm bracelet length:16cm+4cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,38,,TRUE,TRUE,'23872189,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f1314925-sterling-silver,R-F1314,<p>925 Sterling Silver Band 1.2mm size5/6/7 15pcs for each size 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'23642813,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e3198925-sterling-silver,N-E3198,"<p>925 Sterling Silver Pendant:9.5mm, stone dia:1.5mm Chain Length: 40+5 cm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,36,,TRUE,TRUE,'23610045,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-c1045925-sterling-silver,N-C1045,<p>925 Sterling Silver chain width: 3.2mm necklace length: 40cm+5cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,42,,TRUE,TRUE,'23577277,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1346-e-s1345925-sterling-silver,E-S1346/E-S1345,<p>925 Sterling Silver Star 9.5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'23544509,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f1069925-sterling-silver,R-F1069,"<p>925 Sterling Silver <br>2mm Opal size5/6/7 15pcs for each size 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'23511741,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1055925-sterling-silver,E-S1055,<p>925 Sterling Silver / 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,24,,TRUE,TRUE,'23478973,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e3257925-sterling-silver,N-E3257,<p>925 Sterling Silver Opal:3mm Chain: 40+5cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,42,,TRUE,TRUE,'23446205,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1032925-sterling-silver,E-S1032,<p>925 Sterling Silver 3mm White Opal and 4.2mm Width 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,24,,TRUE,TRUE,'23380669,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1170925-sterling-silver,E-H1170,<p>925 Sterling Silver Inner Diameter 6.5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,35,,TRUE,TRUE,'23347901,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
b-r5115925-sterling-silver,B-R5115,"<p>925 Sterling Silver <br>* Flower diameter: approximately 5.2mm Length:16cm+4cm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,35,,TRUE,TRUE,'23315133,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s1013925-sterling-silver,E-S1013,<p>925 Sterling Silver Opal 2.5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'23282365,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-d4087925-sterling-silver,E-D4087,"<p>925 Sterling Silver <br>25mm chain drop/ studï__7.8*3.8mm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,32,,TRUE,TRUE,'23249597,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-st1030925-sterling-silver,E-ST1030,<p>925 Sterling Silver 7.5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,45,,TRUE,TRUE,'23216829,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f1102925-sterling-silver,R-F1102,<p>925 Sterling Silver 4mm Opal size5/6/7 15pcs for each size 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,29,,TRUE,TRUE,'22987453,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f0135925-sterling-silver,R-F0135,<p>925 Sterling Silver size5/6/7 15pcs for each size 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'22954685,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s11060925-sterling-silver,E-S11060,<p>925 Sterling Silver eye 4.25 x 6.5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,32,,TRUE,TRUE,'22921917,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s5232925-sterling-silver,E-S5232,<p>925 Sterling Silver 7mm x 6mm Curved top 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'22889149,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1135925-sterling-silver,E-H1135,<p>925 Sterling Silver Starburst 11.5mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,32,,TRUE,TRUE,'22856381,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1062925-sterling-silver,E-H1062,"<p>925 Sterling Silver <br>Diameter 13mm and Starburst 11.5mm 14k gold 1 micron</p>",Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,36,,TRUE,TRUE,'22659773,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e3206925-sterling-silver,N-E3206,<p>925 Sterling Silver Size:8*13mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,35,,TRUE,TRUE,'22627005,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s5233925-sterling-silver,E-S5233,<p>925 Sterling Silver Length: 40cm+5cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,39,,TRUE,TRUE,'22594237,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1357925-sterling-silver,E-H1357,<p>925 Sterling Silver Baguette 2*4mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,22,,TRUE,TRUE,'22561469,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1071925-sterling-silver,E-H1071,<p>925 Sterling Silver Baguette 2*4mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,22,,TRUE,TRUE,'22528701,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-h1069-2925-sterling-silver,E-H1069-2,<p>925 Sterling Silver Inner Dia:8mm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,29,,TRUE,TRUE,'22495933,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s5194925-sterling-silver,E-S5194,<p>925 Sterling Silver Stone part:16mm Length:16cm+4cm 14k gold 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,34,,TRUE,TRUE,'22463165,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s5277925-sterling-silver,E-S5277,<p>925 Sterling Silver / 14k gold                 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,20,,TRUE,TRUE,'22430397,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
e-s5283925-sterling-silver,E-S5283,<p>925 Sterling Silver / 14k gold                 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,22,,TRUE,TRUE,'22397629,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e5144925-sterling-silver,N-E5144,<p>925 Sterling Silver 1 1/8in total drop            Charm 3/4in by 1/2in 14k gold                 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,42,,TRUE,TRUE,'22266557,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
r-f1271925-sterling-silver,R-F1271,<p>925 Sterling Silver size5/6/7                               20pcs for each size 14k gold                 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,28,,TRUE,TRUE,'22233789,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e5283925-sterling-silver,N-E5283,<p>925 Sterling Silver Charm 1.4 x 1.1 cm 14k gold                 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,45,,TRUE,TRUE,'22069949,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
n-e5284925-sterling-silver,N-E5284,<p>925 Sterling Silver Charm 1.4 x 1.1 cm 14k gold                 1 micron</p>,Gemnel,,,"925 Sterling Silver, Nov3Upload",TRUE,Title,Default Title,,,,,,0,,deny,manual,45,,TRUE,TRUE,'21938877,,,,FALSE,,,,,,,,,,,,,,,,,lb,,,active
